sample: 2-203-5-2 cell 74	area in cm²: 0.910000
voltage in V	current density in mA/cm²
8.000E-1	3.048E+1
7.800E-1	2.749E+1
7.600E-1	2.467E+1
7.400E-1	2.199E+1
7.200E-1	1.944E+1
7.000E-1	1.702E+1
6.800E-1	1.472E+1
6.600E-1	1.257E+1
6.400E-1	1.057E+1
6.200E-1	8.727E+0
6.000E-1	7.060E+0
5.800E-1	5.586E+0
5.600E-1	4.318E+0
5.400E-1	3.259E+0
5.200E-1	2.406E+0
5.000E-1	1.744E+0
4.800E-1	1.250E+0
4.600E-1	8.956E-1
4.400E-1	6.456E-1
4.200E-1	4.751E-1
4.000E-1	3.590E-1
3.800E-1	2.813E-1
3.600E-1	2.275E-1
3.400E-1	1.905E-1
3.200E-1	1.631E-1
3.000E-1	1.426E-1
2.800E-1	1.260E-1
2.600E-1	1.122E-1
2.400E-1	1.001E-1
2.200E-1	8.920E-2
2.000E-1	7.914E-2
1.800E-1	6.998E-2
1.600E-1	6.081E-2
1.400E-1	5.265E-2
1.200E-1	4.411E-2
1.000E-1	3.660E-2
8.000E-2	2.867E-2
6.000E-2	2.144E-2
4.000E-2	1.407E-2
2.000E-2	6.889E-3
0.000E+0	6.361E-5
-2.000E-2	-6.852E-3
-4.000E-2	-1.339E-2
-6.000E-2	-2.047E-2
-8.000E-2	-2.686E-2
-1.000E-1	-3.375E-2
-1.200E-1	-4.027E-2
-1.400E-1	-4.695E-2
-1.600E-1	-5.377E-2
-1.800E-1	-6.027E-2
-2.000E-1	-6.731E-2
-2.200E-1	-7.377E-2
-2.400E-1	-8.101E-2
-2.600E-1	-8.756E-2
-2.800E-1	-9.473E-2
-3.000E-1	-1.015E-1
-3.200E-1	-1.086E-1
-3.400E-1	-1.154E-1
-3.600E-1	-1.229E-1
-3.800E-1	-1.299E-1
-4.000E-1	-1.373E-1
-4.200E-1	-1.447E-1
-4.400E-1	-1.521E-1
-4.600E-1	-1.598E-1
-4.800E-1	-1.671E-1
-5.000E-1	-1.751E-1
