cell	Jsc in mA/cm²	Voc in mV	FF in %	Roc in Ohm*cm²	Rsc in Ohm*cm²	eta in %	T start in °C	T end in °C
11	33.76	571.65	51.63	6.05	800.61	9.96	25.00	25.00
12	33.36	572.87	53.21	5.51	1306.38	10.17	25.00	25.00
13	33.81	567.38	52.25	5.37	392.51	10.02	25.00	25.00
14	33.90	574.52	54.10	5.00	1232.63	10.54	25.00	25.00
21	33.64	571.23	54.55	5.28	1766.13	10.48	25.00	25.00
22	32.92	570.64	54.44	5.18	1712.83	10.23	25.00	25.00
23	33.19	573.23	54.46	5.05	1972.96	10.36	25.00	25.00
24	33.32	574.62	55.66	4.77	1970.26	10.65	25.00	25.00
31	33.31	577.78	51.33	6.19	491.80	9.88	25.00	25.00
32	32.83	576.40	53.12	5.48	676.74	10.05	25.00	25.00
33	33.14	579.30	55.00	4.99	930.12	10.56	25.00	25.00
34	33.33	577.14	55.78	4.71	977.04	10.73	25.00	25.00
41	34.17	569.88	54.35	5.21	1042.04	10.58	25.00	25.00
42	33.22	571.53	54.18	5.17	741.07	10.29	25.00	25.00
43	33.40	576.44	56.32	4.62	1043.18	10.84	25.00	25.00
51	33.59	569.57	48.74	7.05	648.54	9.33	25.00	25.00
52	33.19	569.58	48.16	6.88	580.64	9.11	25.00	25.00
53	33.60	574.77	50.87	5.92	727.91	9.83	25.00	25.00
54	33.43	575.68	52.36	5.50	908.75	10.08	25.00	25.00
61	34.12	568.04	51.27	6.42	781.12	9.94	25.00	25.00
62	33.29	571.35	51.33	6.03	609.35	9.76	25.00	25.00
63	33.43	576.28	52.51	5.61	722.91	10.12	25.00	25.00
64	33.42	577.15	53.54	5.23	1391.09	10.33	25.00	25.00
71	33.38	565.05	45.92	8.92	750.06	8.66	25.00	25.00
72	32.59	568.86	48.73	7.00	605.00	9.03	25.00	25.00
73	33.20	575.85	49.26	6.51	498.33	9.42	25.00	25.00
74	33.20	578.58	51.39	5.85	580.18	9.87	25.00	25.00
81	33.68	572.00	54.95	5.38	849.78	10.59	25.00	25.00
82	33.11	568.29	53.22	5.73	1107.94	10.01	25.00	25.00
83	33.35	574.10	53.25	5.52	1019.00	10.20	25.00	25.00
15	33.98	580.23	51.24	5.63	951.52	10.10	25.00	25.00
16	34.10	579.81	52.60	5.39	1704.44	10.40	25.00	25.00
17	33.35	579.11	53.47	5.22	697.60	10.33	25.00	25.00
18	33.65	581.03	55.97	4.32	809.40	10.94	25.00	25.00
25	33.24	577.95	52.95	5.38	1018.85	10.17	25.00	25.00
26	33.22	577.26	53.32	5.24	1032.27	10.22	25.00	25.00
27	31.82	578.36	55.73	4.87	844.73	10.26	25.00	25.00
28	32.21	578.84	58.05	4.34	989.33	10.82	25.00	25.00
35	33.29	578.37	55.13	4.92	1276.49	10.61	25.00	25.00
36	33.53	576.82	54.64	4.86	1147.39	10.57	25.00	25.00
37	32.88	576.48	55.08	4.85	985.50	10.44	25.00	25.00
38	33.12	576.31	57.15	4.37	1635.40	10.91	25.00	25.00
45	33.54	578.18	57.98	4.21	724.78	11.24	25.00	25.00
46	33.57	577.66	57.93	4.17	2760.40	11.24	25.00	25.00
47	32.59	577.61	57.03	4.43	1331.99	10.73	25.00	25.00
55	33.25	581.51	53.13	5.18	983.86	10.27	25.00	25.00
56	33.65	579.96	54.18	5.07	1291.62	10.57	25.00	25.00
57	33.18	581.13	53.28	4.95	776.67	10.27	25.00	25.00
58	33.21	580.18	56.31	4.29	1052.78	10.85	25.00	25.00
65	33.26	581.10	54.60	4.74	1397.98	10.55	25.00	25.00
66	33.43	580.21	54.47	4.68	704.85	10.56	25.00	25.00
67	32.63	581.19	55.33	4.52	799.85	10.49	25.00	25.00
68	32.54	578.95	58.50	4.20	2893.96	11.02	25.00	25.00
75	33.26	583.61	51.69	5.48	733.02	10.03	25.00	25.00
76	33.48	582.46	52.27	5.23	831.34	10.19	25.00	25.00
77	33.02	582.58	54.19	4.77	1386.23	10.42	25.00	25.00
78	33.17	581.21	56.89	4.19	949.91	10.97	25.00	25.00
85	33.23	584.19	57.75	4.11	943.82	11.21	25.00	25.00
86	33.29	584.64	57.43	4.15	1235.04	11.18	25.00	25.00
87	32.32	582.56	58.39	4.06	1013.15	10.99	25.00	25.00

max.	33.81	584.19	57.75	5.92	1635.40	11.02
min.	33.02	567.38	50.87	4.06	491.80	9.76
Median	33.29	577.20	54.18	5.18	964.28	10.34
best cell 78	33.17	581.21	56.89	4.19	949.91	10.97
yield 0.50
