sample: 2-203-5-3 cell 87	area in cm²: 0.910000
voltage in V	current density in mA/cm²
8.000E-1	8.703E+1
7.800E-1	7.860E+1
7.600E-1	7.048E+1
7.400E-1	6.250E+1
7.200E-1	5.472E+1
7.000E-1	4.715E+1
6.800E-1	3.980E+1
6.600E-1	3.274E+1
6.400E-1	2.596E+1
6.200E-1	1.954E+1
6.000E-1	1.349E+1
5.800E-1	7.877E+0
5.600E-1	2.668E+0
5.400E-1	-2.113E+0
5.200E-1	-6.434E+0
5.000E-1	-1.034E+1
4.800E-1	-1.377E+1
4.600E-1	-1.686E+1
4.400E-1	-1.949E+1
4.200E-1	-2.181E+1
4.000E-1	-2.380E+1
3.800E-1	-2.541E+1
3.600E-1	-2.676E+1
3.400E-1	-2.784E+1
3.200E-1	-2.867E+1
3.000E-1	-2.931E+1
2.800E-1	-2.993E+1
2.600E-1	-3.028E+1
2.400E-1	-3.055E+1
2.200E-1	-3.081E+1
2.000E-1	-3.103E+1
1.800E-1	-3.118E+1
1.600E-1	-3.129E+1
1.400E-1	-3.142E+1
1.200E-1	-3.147E+1
1.000E-1	-3.157E+1
8.000E-2	-3.163E+1
6.000E-2	-3.165E+1
4.000E-2	-3.172E+1
2.000E-2	-3.172E+1
0.000E+0	-3.180E+1
-2.000E-2	-3.184E+1
-4.000E-2	-3.187E+1
-6.000E-2	-3.192E+1
-8.000E-2	-3.197E+1
-1.000E-1	-3.198E+1
-1.200E-1	-3.201E+1
-1.400E-1	-3.199E+1
-1.600E-1	-3.202E+1
-1.800E-1	-3.210E+1
-2.000E-1	-3.205E+1
-2.200E-1	-3.203E+1
-2.400E-1	-3.213E+1
-2.600E-1	-3.211E+1
-2.800E-1	-3.215E+1
-3.000E-1	-3.222E+1
-3.200E-1	-3.214E+1
-3.400E-1	-3.218E+1
-3.600E-1	-3.227E+1
-3.800E-1	-3.220E+1
-4.000E-1	-3.228E+1
-4.200E-1	-3.224E+1
-4.400E-1	-3.227E+1
-4.600E-1	-3.222E+1
-4.800E-1	-3.227E+1
-5.000E-1	-3.234E+1
